Original name,Entire name,OSM Tags,Nominatim URL,lat,lon,bbox,area
Newfoundland,Province of Newfoundland and Labrador (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Newfoundland+and+Labrador&format=json&limit=1,53.8217327,-61.2295532,"[46.4101865, 60.4770255, -67.8216853, -52.3237664]",218.00673000135714
Norfolk Is.,Norfolk Island (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Norfolk+Island+Australia&format=json&limit=1,-29.0328038,167.9483137,"[-29.3370694, -28.7936626, 167.6856728, 168.2261259]",0.293685889621084
North Carolina,State of North Carolina (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=North+Carolina&format=json&limit=1,35.6729639,-79.0392919,"[33.752878, 36.588157, -84.3218293, -75.400119]",25.2955378576737
North Caucasus,North Caucasus Region,place=region,https://nominatim.openstreetmap.org/search?q=North+Caucasus&format=json&limit=1,44.495884,43.190318,"[40.291323, 48.700444, 37.147838, 49.232798]",101.638
North Dakota,State of North Dakota (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=North+Dakota&format=json&limit=1,47.6201461,-100.540737,"[45.935054, 49.0005765, -104.048949, -96.5543975]",22.97471625065875
North European Russia,Northern European Russia,place=region,https://nominatim.openstreetmap.org/search?q=North+European+Russia&format=json&limit=1,65.875239,62.509215,"[62.203132, 69.547345, 43.876403, 81.142026]",273.625
Northern Territory,Northern Territory (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Australia&state=Northern+Territory&format=json&limit=1,-19.8516101,133.2303375,"[-25.99862, -10.8524628, 129.0004454, 138.0273711]",136.72323568492035
Northwest European Russia,Northwestern European Russia,place=region,https://nominatim.openstreetmap.org/search?q=Northwest+European+Russia&format=json&limit=1,65.549901,40.408353,"[60.786256, 70.313545, 28.754356, 52.062350]",222.193
Norway,Kingdom of Norway,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Norway&format=json&limit=1,61.1529386,8.7876653,"[58.837321, 81.0280176, -9.6846279, 27.475699]",824.901
Nova Scotia,Province of Nova Scotia (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Nova+Scotia&format=json&limit=1,45.1960403,-63.1653789,"[43.1881572, 47.7610742, -66.680717, -59.2887119]",33.80302578587672
Ohio,State of Ohio (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Ohio&format=json&limit=1,40.2253569,-82.6881395,"[38.4031419, 42.3246919, -84.8203361, -80.5189601]",16.8680610528
Oklahoma,State of Oklahoma (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Oklahoma&format=json&limit=1,34.9550817,-97.2684063,"[33.6191533, 37.0022994, -103.0024413, -94.4312145]",28.997712520635478
Ontario,Province of Ontario (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Ontario&format=json&limit=1,50.000678,-86.000977,"[41.6765597, 56.8613501, -95.1560176, -74.3201062]",316.38894740197065
Oregon,State of Oregon (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Oregon&format=json&limit=1,43.9792797,-120.737257,"[41.991794, 46.2923948, -124.703541, -116.4631465]",35.43864717901562
Pakistan,Islamic Republic of Pakistan,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Pakistan&format=json&limit=1,30.3308401,71.247499,"[23.4341977, 37.084107, 60.872855, 77.1203914]",221.7773982084486
Palestine,State of Palestine,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Palestine&format=json&limit=1,31.4624210,34.2627215,"[31.2201289, 32.5489422, 34.0546906, 35.5403583]",1.973
Pennsylvania,State of Pennsylvania (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Pennsylvania&format=json&limit=1,40.9699889,-77.7278831,"[39.7197662, 42.5161334, -80.5210906, -74.689672]",16.30678770250989
Peru,Republic of Peru,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Peru&format=json&limit=1,-6.8699697,-75.0458515,"[-20.1984472, -0.0392818, -84.6356535, -68.6519906]",322.2173040989436
Poland,Republic of Poland,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Poland&format=json&limit=1,52.215933,19.134422,"[49.0020468, 55.03605, 14.0696389, 24.145783]",60.79948574306114
Portugal,Portuguese Republic,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Portugal&format=json&limit=1,39.6621648,-8.1353519,"[29.828247, 42.1543112, -31.5575303, -6.1891593]",312.69216959541825
Primorye,Primorsky Krai (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Primorsky+Krai+Russia&format=json&limit=1,45.0819456,134.726645,"[42.1227116, 48.4652417, 130.39465, 139.3093931]",56.54202644551717
Prince Edward I.,Prince Edward Island (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Prince+Edward+Island&format=json&limit=1,46.3355508,-63.1466676,"[45.8494597, 47.6024791, -64.5519125, -61.3993669]",5.526473596184644
Qinghai,Qinghai Province (China),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Qinghai+China&format=json&limit=1,36.0,96.0,"[31.6018045, 39.2142318, 89.4022166, 103.0694065]",104.04048950904425
Queensland,State of Queensland (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Australia&state=Queensland&format=json&limit=1,-22.1646782,144.5844903,"[-29.179266, -9.0880125, 137.9946464, 153.6116035]",313.764243994725
Québec,Province of Québec (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Quebec&format=json&limit=1,52.4760892,-71.8258668,"[44.9913689, 62.5824657, -79.7628726, -57.1074889]",398.5330477078421
Rhode I.,State of Rhode Island (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Rhode+Island&format=json&limit=1,41.7962409,-71.5992372,"[41.095834, 42.0189359, -71.907431, -71.088571]",0.7558912218339998
Romania,Romania,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Romania&format=json&limit=1,45.9852129,24.6859225,"[43.6188114, 48.2654738, 20.2619955, 30.0454257]",45.46029725336451
Rwanda,Republic of Rwanda,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Rwanda&format=json&limit=1,-1.9646631,30.0644358,"[-2.8397643, -1.0474083, 28.861696, 30.8990738]",3.651706324096803
Sakhalin,Sakhalin Oblast (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Sakhalin+Russia&format=json&limit=1,50.159476,143.0264412,"[45.8926856, 54.4254514, 141.6266119, 144.7475123]",26.629912198326412
Sardegna,Sardinia (Italy),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Sardinia+Italy&format=json&limit=1,40.0912813,9.0305773,"[38.8590846, 41.3131122, 8.1308446, 9.8293196]",4.168104527909994
Saskatchewan,Province of Saskatchewan (Canada),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Canada&state=Saskatchewan&format=json&limit=1,55.5321257,-106.141224,"[48.9988056, 60.0000252, -110.006368, -101.3619076]",95.09960718390388
Saudi Arabia,Kingdom of Saudi Arabia,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Saudi+Arabia&format=json&limit=1,25.6242618,42.3528328,"[16.29, 32.1542832, 34.4571718, 55.6666851]",336.4737255253667
Senegal,Republic of Senegal,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Senegal&format=json&limit=1,14.4750607,-14.4529612,"[12.2402664, 16.6919712, -17.7498686, -11.3459503]",28.50835383491785
Sicilia,Sicily (Italy),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Sicily+Italy&format=json&limit=1,37.587794,14.155048,"[35.4929521, 38.8176638, 11.9258571, 15.6530796]",12.391940254253257
Sinai,Sinai Peninsula (Egypt),place=region,https://nominatim.openstreetmap.org/search?q=Sinai+Peninsula&format=json&limit=1,29.5231696,33.8054726,"[27.7241399, 31.3233317, 32.3101801, 34.9036851]",9.334521929259001
Socotra,Socotra Island (Yemen),place=island,https://nominatim.openstreetmap.org/search?q=Socotra+Yemen&format=json&limit=1,12.5,53.833333,"[11.9084802, 12.9129924, 51.8584658, 54.7389375]",2.893468964404743
Somalia,Federal Republic of Somalia,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Somalia&format=json&limit=1,8.3676771,49.083416,"[-1.8031969, 12.1889121, 40.98918, 51.6177696]",148.71638419946646
South Australia,State of South Australia (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Australia&state=South+Australia&format=json&limit=1,-30.5343665,135.6301212,"[-38.1133108, -25.9963915, 129.001395, 141.0027803]",145.4198171683064
South Carolina,State of South Carolina (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=South+Carolina&format=json&limit=1,33.6874388,-80.4363743,"[32.033454, 35.2154852, -83.3539979, -78.5413536]",15.313984317102188
South Dakota,State of South Dakota (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=South+Dakota&format=json&limit=1,44.6471761,-100.348761,"[42.4798925, 45.945335, -104.0577568, -96.4363403]",26.411580649301296
South European Russia,Southern European Russia,place=region,https://nominatim.openstreetmap.org/search?q=South+European+Russia&format=json&limit=1,46.307988,43.596218,"[39.995594, 52.620381, 32.935162, 54.257273]",269.370
Spain,Kingdom of Spain,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Spain&format=json&limit=1,39.3260685,-4.8379791,"[36.030904, 43.643643, -10.173499, 4.020836]",108.071
Sudan-South Sudan,Sudan and South Sudan,place=region,https://nominatim.openstreetmap.org/search?q=Sudan+South+Sudan&format=json&limit=1,7.8699431,29.6667897,"[3.48898, 12.236389, 23.447778, 35.948997]",109.353275591571
Sweden,Kingdom of Sweden,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Sweden&format=json&limit=1,59.6749712,14.5208584,"[55.1370957, 69.0599735, 10.5935025, 24.1776819]",189.13086979947724
Switzerland,Swiss Confederation,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Switzerland&format=json&limit=1,46.7985624,8.2319736,"[45.8179579, 47.8084544, 5.9558318, 10.4922941]",9.029812330531946
Tadzhikistan,Republic of Tajikistan,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Tajikistan&format=json&limit=1,38.6281733,70.8156541,"[36.6711153, 41.0450935, 67.3332775, 75.1539563]",34.20747858040223
Tanzania,United Republic of Tanzania,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Tanzania&format=json&limit=1,-6.5247123,35.7878438,"[-11.761254, -0.9854812, 29.3269773, 40.6584071]",122.10491302394941
Tasmania,State of Tasmania (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Australia&state=Tasmania&format=json&limit=1,-42.035067,146.6366887,"[-55.1730541, -39.1984777, 143.748821, 159.0840828]",244.97431123810176
Tennessee,State of Tennessee (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Tennessee&format=json&limit=1,35.7730076,-86.2820081,"[34.982938, 36.678118, -90.310298, -81.6472191]",14.68547808970201
Texas,State of Texas (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Texas&format=json&limit=1,31.2638905,-98.5456116,"[25.83706, 36.5004529, -106.6458459, -93.5078217]",140.0959139743082
Tibet,Tibet Autonomous Region (China),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Tibet+China&format=json&limit=1,31.6692025,87.473225,"[26.8547621, 36.484074, 78.3923198, 99.1155467]",199.55041539457014
Transcaucasus,Transcaucasia,place=region,https://nominatim.openstreetmap.org/search?q=Transcaucasia&format=json&limit=1,40.980118,44.966296,"[38.369781, 43.590454, 39.637927, 50.294665]",55.670
Tunisia,Republic of Tunisia,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Tunisia&format=json&limit=1,33.8439408,9.400138,"[30.229061, 37.7612052, 7.5219807, 11.8801133]",32.82608318592091
Turkmenistan,Turkmenistan,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Turkmenistan&format=json&limit=1,39.3763807,59.3924609,"[35.129093, 42.7996686, 52.2643526, 66.6903725]",110.65587625005438
Tuva,Tuva Republic (Russia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Tuva+Russia&format=json&limit=1,51.4017149,93.8582593,"[49.7429299, 53.7289299, 88.7920033, 99.2737021]",41.78005141679993
Türkey,Republic of Türkiye,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Turkey&format=json&limit=1,39.294076,35.2316631,"[35.8058974, 42.297, 25.5656305, 44.8176638]",124.96692340891651
Türkey-in-Europe,European part of Türkiye,place=region,https://nominatim.openstreetmap.org/search?q=European+Turkey&format=json&limit=1,40.433768,28.764059,"[38.778595, 42.088941, 26.083395, 31.444723]",17.749
Uganda,Republic of Uganda,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Uganda&format=json&limit=1,1.5333554,32.2166578,"[-1.4823179, 4.2340766, 29.573433, 35.000308]",31.022158402187472
Ukraine,Ukraine,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Ukraine&format=json&limit=1,49.4871968,31.2718321,"[44.184598, 52.3797464, 22.137059, 40.2278093]",148.2563833758445
Uruguay,Oriental Republic of Uruguay,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Uruguay&format=json&limit=1,-32.8755548,-56.0201525,"[-35.7824829, -30.0853962, -58.4947729, -53.0755833]",30.873592994938317
Utah,State of Utah (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Utah&format=json&limit=1,39.4225192,-111.714358,"[36.9978085, 42.001702, -114.0528506, -109.0415767]",25.0758808949297
Uzbekistan,Republic of Uzbekistan,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Uzbekistan&format=json&limit=1,41.32373,63.9528098,"[37.1816004, 45.5906784, 55.9985531, 73.2147728]",144.77253432243666
Venezuela,Bolivarian Republic of Venezuela,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Venezuela&format=json&limit=1,8.0018709,-66.1109318,"[0.6473964, 15.9158431, -73.3529632, -59.7707163]",207.37981285889035
Vermont,State of Vermont (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Vermont&format=json&limit=1,44.5990718,-72.5002608,"[42.72696, 45.016665, -73.43774, -71.465386]",4.516108815570033
Victoria,State of Victoria (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Australia&state=Victoria&format=json&limit=1,-36.5986096,144.6780052,"[-39.1984867, -33.9807974, 140.9619017, 150.0332821]",47.331644449309735
Virginia,State of Virginia (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Virginia&format=json&limit=1,37.1232245,-78.4927721,"[36.5407896, 39.466012, -83.6753671, -75.166435]",24.89051877899905
Washington,State of Washington (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Washington&format=json&limit=1,47.2868352,-120.212613,"[45.5437314, 49.0024392, -124.8360916, -116.9159938]",27.39330403762286
West Himalaya,Western Himalaya,place=region,https://nominatim.openstreetmap.org/search?q=West+Himalaya&format=json&limit=1,32.975,75.25,"[30.70, 35.25, 73.50, 77.00]",15.925
West Siberia,Western Siberia (Russia),place=region,https://nominatim.openstreetmap.org/search?q=West+Siberia&format=json&limit=1,55.370266,82.581300,"[51.913506, 73.076840, 58.827025, 92.085759]",131.426
West Virginia,State of West Virginia (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=West+Virginia&format=json&limit=1,38.4758406,-80.8408415,"[37.2014139, 40.638801, -82.644739, -77.719029]",16.931572012340993
Western Australia,State of Western Australia (Australia),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=Australia&state=Western+Australia&format=json&limit=1,-25.2303005,121.0187246,"[-35.2418503, -13.5076852, 112.8656697, 129.0020486]",350.7107231287564
Wisconsin,State of Wisconsin (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Wisconsin&format=json&limit=1,44.4308975,-89.6884637,"[42.4919515, 47.3025, -92.8893149, -86.249548]",31.94092070114466
Wyoming,State of Wyoming (USA),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?country=USA&state=Wyoming&format=json&limit=1,43.1700264,-107.568534,"[40.9948223, 45.0058281, -111.0552665, -104.0522528]",28.089128568179444
Xinjiang,Xinjiang Uyghur Autonomous Region (China),"boundary=administrative, admin_level=4",https://nominatim.openstreetmap.org/search?q=Xinjiang+China&format=json&limit=1,42.4804953,85.4633464,"[34.3340633, 49.1780565, 73.4997347, 96.3874094]",339.7444876106119
Yemen,Republic of Yemen,"boundary=administrative, admin_level=2",https://nominatim.openstreetmap.org/search?country=Yemen&format=json&limit=1,16.3471243,47.8915271,"[11.9084802, 19.0, 41.60825, 54.7389375]",93.1165303938625
