TRY Data Explorer Output	 2025-4-15
Species Trait Table
Specieslist: 909, 54991, 16700, 27988, 5512, 41658, 7173, 26336, 5522, 14244, 18628, 9768, 
Trait	TraitID	.Achillea millefolium.	.Trifolium pratense.	.Dactylis glomerata.	.Hedera helix.	.Asclepias syriaca.	.Phragmites australis.	.Bellis perennis.	.Glechoma hederacea.	.Asimina triloba.	.Convolvulus arvensis.	.Diospyros virginiana.	.Caltha palustris.	
Root surface area per soil volume (root surface area density)	3722	4	4	4	0	0	0	2	0	0	0	0	0	
Root tissue density (root dry mass per root volume)	82	83	6	113	0	0	1	51	6	0	0	0	0	
Root type, root architecture	65	10	8	11	3	2	19	6	10	1	12	1	8	
Root volume per root dry mass 	1091	1	1	6	0	0	1	1	1	0	0	0	0	
Root/shoot ratio	9	88	10	150	0	0	1	55	8	0	1	0	0	
Seed (seedbank) longevity	33	345	328	427	48	1	81	150	140	0	156	0	94	
Seed / ovule ratio	3482	1	0	0	0	0	0	0	1	0	0	0	0	
Seed area	1099	5	5	5	0	0	0	5	5	0	0	0	0	
Seed curvature	3041	5	5	5	0	0	0	5	5	0	0	0	0	
Seed dry mass	26	145	142	219	47	68	54	127	26	16	67	21	58	
Seed fructans content per seed dry mass	3586	3	3	6	0	0	0	0	0	0	0	0	3	
Seed germination rate (germination efficiency)	95	10	13	20	4	3	4	6	0	0	5	0	2	
Seed germination requirement	596	12	7	7	4	0	4	4	3	1	9	1	8	
Seed germination temperature	353	10	2	2	4	0	3	2	0	0	3	0	0	
Seed germination type	1102	1	1	1	1	0	2	1	1	0	1	0	2	
Seed length	27	21	15	20	8	4	4	18	15	3	13	3	9	
Seed morphology type	350	6	10	11	5	0	3	3	6	0	7	0	4	
Seed nitrogen (N) content per dry mass (or diaspore)	2945	3	3	6	0	0	0	0	0	0	0	0	3	
Seed number per dispersal unit	351	1	1	2	1	0	1	1	1	0	5	0	1	
Seed number per flower	1103	1	2	0	3	0	0	2	2	0	1	0	0	
Seed number per ramet	336	11	9	0	1	0	0	4	0	0	5	0	10	
Seed number per reproducton unit	138	39	31	3	4	0	11	10	6	0	22	0	29	
Seed number per square meter	1105	4	4	1	1	0	1	1	1	0	1	0	4	
Seed number per stem	1106	16	3	0	0	0	1	1	1	0	0	0	0	
Seed oil content per seed mass	96	8	7	8	6	0	0	0	0	2	6	4	1	
Seed persistence	4082	1	1	1	0	0	0	0	0	0	1	0	0	
Seed phosphorus (P) content per dry mass (or diaspore)	3000	3	3	6	0	0	0	0	0	0	0	0	3	
Seed projected perimeter	3045	5	5	5	0	0	0	5	5	0	0	0	0	
Seed protein content per seed mass	97	7	6	6	5	0	0	0	0	0	5	4	0	
Seed shape	349	1	3	5	2	0	2	1	0	0	2	3	0	
Seed spread rate	610	2	1	1	1	0	1	0	0	2	0	2	1	
Seed starch content per seed dry mass	3585	3	3	6	0	0	0	0	0	0	0	0	3	
Seed storage behaviour	98	4	4	5	1	2	1	2	1	1	2	4	1	
Seed structure type	1108	3	8	5	2	0	2	1	1	0	1	0	2	
Seed surface area	3043	25	25	25	0	0	0	25	25	0	0	0	0	
Seed terminal velocity	66	87	90	101	2	24	19	11	0	0	30	0	30	
Seed thickness	238	6	6	7	3	3	1	5	0	0	6	3	6	
Seed volume	3042	20	20	20	0	0	0	20	20	0	0	0	0	
Seed width	239	17	24	19	6	4	1	16	12	0	9	3	7	
Seed width to length ratio	3044	5	5	5	0	0	0	5	5	0	0	0	0	
Seedbank density	1111	247	263	352	43	0	80	103	134	0	124	0	79	
Seedbank duration	2809	300	233	330	43	0	70	117	123	0	111	0	68	
Seedbank number of layers	2807	305	247	336	43	0	72	119	131	0	116	0	70	
Seedbank thickness of top layer	2808	263	218	296	33	0	60	95	127	0	108	0	70	
Seedbank type	159	627	540	714	88	0	148	244	265	0	247	0	154	
Seedling vigor	611	2	1	1	0	0	1	0	0	1	0	1	1	
Shoot branching type; shoot branching architecture	140	18	11	17	3	5	41	7	16	0	27	0	11	
Shoot calcium (Ca) content per shoot dry mass	704	5	3	5	0	0	0	1	0	0	1	0	0	
Shoot carbon (C) content per shoot dry mass	775	26	39	50	0	0	0	37	31	0	0	0	0	
Shoot carbon/nitrogen (C/N) ratio	409	16	13	14	1	0	1	8	8	1	0	1	1	
Shoot copper (Cu) content per shoot dry mass	1117	4	2	5	0	0	0	0	0	0	0	0	0	
Shoot cyclicity	1118	12	7	12	1	5	34	4	9	0	23	0	9	
Shoot emergences (pubescence, hairs, spines, thorns)	1255	1	2	4	7	0	6	0	0	0	5	0	0	
Shoot fresh mass	1119	25	0	69	0	0	0	20	0	0	0	0	0	
Shoot iron (Fe) content per shoot dry mass	705	5	2	5	0	0	0	0	0	0	1	0	0	
Shoot length	3637	90	182	80	0	0	0	92	87	0	0	0	0	
Shoot magnesium (Mg) content per shoot dry mass	702	5	3	5	0	0	0	1	0	0	1	0	0	
Shoot manganese (Mn) content per shoot dry mass	703	5	2	5	0	0	0	0	0	0	1	0	0	
Shoot necromass	404	4	5	5	0	0	0	0	0	0	0	0	0	
Shoot nickel (Ni) content per shoot dry mass	1124	4	2	5	0	0	0	0	0	0	0	0	0	
Shoot nitrogen (N) content per shoot dry mass	339	27	39	50	0	0	0	37	31	0	1	0	0	
Shoot phosphorus (P) content per shoot dry mass	340	10	8	10	0	0	0	6	5	0	1	0	0	
Shoot potassium (K) content per shoot dry mass	701	5	3	5	0	0	0	1	0	0	1	0	0	
Shoot sodium (Na) content per shoot dry mass	1127	4	3	5	0	0	0	1	0	0	0	0	0	
Shoot sulfur (S) content per shoot dry mass	1128	4	2	5	0	0	0	0	0	0	0	0	0	
Shoot zinc (Zn) content per shoot dry mass	1129	4	2	5	0	0	0	0	0	0	0	0	0	
Species environmental indicator value according to Ellenberg: continentality	1130	1	1	3	2	0	1	1	1	0	1	0	1	
Species environmental indicator value according to Ellenberg: light	1131	6	5	9	4	1	3	4	4	0	4	0	5	
Species environmental indicator value according to Ellenberg: moisture	1132	9	7	10	4	3	3	4	7	0	5	0	6	
Species environmental indicator value according to Ellenberg: nitrogen	1133	5	5	9	5	1	5	3	6	0	3	0	7	
Species environmental indicator value according to Ellenberg: pH 	1134	6	8	12	5	2	7	4	5	0	4	0	7	
Species environmental indicator value according to Ellenberg: salt tolerance	1135	6	5	9	3	1	5	3	4	0	3	0	5	
Species environmental indicator value according to Ellenberg: temperature	1136	5	5	9	3	2	2	3	4	0	3	0	4	
Species generation overlap	1137	13	7	12	1	5	34	4	11	0	22	0	9	
Species genotype: chromosome base number	221	3	2	3	1	2	6	2	2	0	2	0	7	
Species genotype: chromosome cDNA content	224	185	126	185	272	81	62	9	0	82	36	58	15	
Species genotype: chromosome number	223	199	128	195	273	1	24	11	9	0	38	58	35	
Species genotype: chromosome ploidy	222	189	124	194	270	82	78	9	21	0	43	0	16	
Species habitat characterisation / Plant requirement: precipitation	602	4	2	2	2	0	2	0	0	2	0	2	2	
Species habitat characterisation / Plant requirement: soil pH	600	4	2	2	2	0	2	0	0	2	0	2	2	
Species habitat characterisation / Plant requirement: soil texture	593	6	3	3	3	0	3	0	0	3	0	3	3	
Species habitat characterization: aridity index	3094	1	1	0	0	1	0	0	0	0	0	0	0	
Species habitat characterization: habitat	3095	4	4	0	0	4	0	0	0	0	0	0	0	
Species habitat characterization: potential evapotranspiration	3093	1	1	0	0	1	0	0	0	0	0	0	0	
Species habitat characterization: precipitation	3092	1	1	0	0	1	0	0	0	0	0	0	0	
Species habitat characterization: soil hydrology	3091	1	1	0	0	1	0	0	0	0	0	0	0	
Species light requirement	788	7	3	3	3	0	2	3	3	0	1	0	0	
Species nutrient requirements	1138	2	5	3	3	0	9	2	2	0	4	0	8	
Species nutritional relationships (mycorrhizal symbioses, N-fixation, parasitism, carnivory, …)	3488	1	1	1	2	0	2	1	0	0	1	0	0	
Species occurrence rang: typical abundance where naturally occurring	1139	1	1	1	1	0	2	1	1	0	1	0	2	
Species occurrence range characteristics	1140	25	30	28	25	0	54	23	25	0	27	0	52	
Species occurrence range: altitude of origin	826	2	2	3	0	0	0	0	2	0	0	0	2	
Species occurrence range: climate type	825	70	18	57	14	5	32	1	16	0	6	0	21	
Species occurrence range: continentality	823	5	5	9	5	0	2	5	5	0	1	0	2	
Species occurrence range: elevation range	1141	1	1	1	0	0	0	0	0	0	0	0	0	
Species occurrence range: endemism	244	3	1	2	2	2	1	2	1	0	2	0	1	
Species occurrence range: native vs invasive	218	19	9	21	16	4	9	7	4	2	9	5	10	
Species occurrence range: number of floristic zones	200	2	1	2	1	1	1	1	1	0	1	0	1	
Species occurrence range: origin zonal	827	3	3	5	1	0	1	1	3	0	1	0	3	
Species phyto-sociological group	230	14	3	9	4	1	7	1	12	0	5	0	7	
Species reproduction type	208	5	1	3	1	1	1	1	2	0	1	0	2	
Species soil pH requirement	1142	2	0	4	2	0	20	0	3	0	0	0	16	
Species start of CGO formation versus reproduction	1146	13	7	12	1	5	34	4	11	0	23	0	9	
Species status (nativity at growth location)	1145	1	1	1	1	0	2	1	1	0	1	0	2	
Species strategy type according to Grime	196	3	2	4	5	1	1	2	1	0	2	0	1	
Species tolerance to CaCO3	595	2	1	1	1	0	1	0	0	1	0	1	1	
Species tolerance to drought	30	4	1	2	2	0	2	0	1	3	1	3	1	
Species tolerance to fire	318	4	3	14	6	0	10	2	0	4	6	4	2	
Species tolerance to frost	31	5	3	4	4	1	7	1	2	4	0	3	3	
Species tolerance to grazing	228	1	1	1	0	0	3	1	1	0	1	0	1	
Species tolerance to heavy metals	1038	1	1	1	3	0	2	0	0	0	0	0	0	
Species tolerance to hedges	598	2	1	1	1	0	1	0	0	1	0	1	1	
Species tolerance to human impact	199	11	4	8	5	4	5	4	5	0	6	0	4	
Species tolerance to mowing	227	1	1	1	0	0	1	1	1	0	1	0	1	
Species tolerance to planting density	601	4	0	0	2	0	2	0	0	2	0	2	2	
Species tolerance to salt	1254	3	2	2	1	0	9	1	0	1	0	1	3	
Species tolerance to shade	603	6	6	6	2	0	9	6	1	3	5	3	11	
Species tolerance to trampling	229	1	1	1	0	0	1	1	1	0	1	0	1	
Species tolerance to waterlogging	61	2	1	1	1	0	1	0	0	3	0	3	1	
Species US Wetland Indicator	575	1	1	1	0	0	1	0	0	1	0	1	1	
Stem carbon (C) content per stem dry mass	407	9	4	5	0	0	3	0	0	0	0	0	0	
Stem carbon/nitrogen (C/N) ratio	165	7	4	5	0	0	3	0	0	0	0	0	0	
Stem diameter	21	90	44	18	5	121	0	30	93	101	0	84	1	
Stem dry mass per shoot dry mass (aboveground)	3650	90	168	80	0	0	0	93	95	0	0	0	0	
Stem dry mass per stem fresh mass (stem dry matter content, StDMC)	1181	4	8	9	0	0	0	4	5	0	0	0	0	
Stem length	326	5	9	10	5	10	0	0	0	0	0	0	1	
Stem nitrogen (N) content per stem dry mass	406	10	5	6	0	0	3	0	1	0	0	0	0	
Stem self-supporting	1188	1	2	2	6	0	2	1	1	0	1	0	4	
Stem specific density (SSD, stem dry mass per stem fresh volume) or wood density	4	14	17	20	3	10	24	4	9	1	5	14	0	
Stomata conductance per leaf area	45	40	22	66	1	7	8	20	19	2	2	0	0	
Stomata conductance per leaf area at turgor loss point	3087	1	1	0	0	1	0	0	0	0	0	0	0	
Stomata conductance per leaf dry mass	106	21	4	48	0	5	1	3	4	2	2	0	0	
Stomata cross-sectional area	68	1	1	0	2	1	0	0	0	0	0	0	0	
Stomata density	63	2	6	3	7	0	4	2	2	0	3	0	2	
Stomata distribution to ab- and adaxial leaf surfaces	781	3	1	1	2	0	9	1	1	0	6	0	2	
Tillering type	1194	13	7	12	1	5	34	4	11	0	23	0	9	
Wood axial parenchyma types	1211	3	2	0	1	2	0	1	0	0	1	0	1	
Wood fiber cell wall thickness	1216	4	1	0	1	1	0	0	0	0	1	0	0	
Wood fiber-pits types	1220	2	1	0	1	0	0	0	0	0	1	0	0	
Wood growth ring distinction	273	6	3	0	8	3	0	2	0	5	2	7	2	
Wood ray types	1234	11	3	0	3	2	0	5	0	0	2	0	5	
Wood vessel cell-wall thickness	1236	2	1	0	0	0	0	0	0	0	0	0	0	
Wood vessel density	1237	2	1	0	1	1	0	1	0	0	1	0	1	
Wood vessel diameter	1238	3	1	0	3	1	0	1	0	0	1	0	1	
Wood vessel distribution	1239	3	2	0	3	1	0	2	0	0	1	0	2	
Wood vessel intervessel pits	1240	2	1	0	1	1	0	1	0	0	2	0	0	
Wood vessel perforation plates	278	2	1	0	3	1	0	1	0	1	1	2	1	
Bark crystals	831	0	1	0	1	5	0	0	0	0	1	0	0	
Dispersal kernel measurement (relative abundance at given distance)	3127	0	0	0	0	62	0	0	0	0	0	0	0	
Fine root (absorptive) nitrogen (N) content per absorptive fine root length	2113	0	0	0	0	1	0	0	0	0	0	0	0	
Fruit length	918	0	0	0	0	1	0	0	0	3	0	0	0	
Leaf light absorption (extinction)	10	0	0	0	0	4	0	0	0	0	0	0	0	
Leaf mid vein thickness	104	0	1	1	0	1	0	0	0	0	0	0	0	
Plant morphological adaptations: root metamorphoses	814	0	1	1	3	1	1	0	0	0	1	0	0	
Seed heteromorphy	234	0	2	0	2	2	0	0	0	0	4	0	4	
Seed number per ground area	3603	0	2	0	0	1	0	0	0	0	0	0	0	
Seedling establishment	3620	0	0	0	0	1	0	0	0	0	0	0	0	
Species occurrence range: invasiveness	824	0	0	0	0	1	2	0	0	0	0	0	0	
Species occurrence range: mode of introduction	242	0	0	0	0	2	0	2	0	0	0	0	0	
Stem pith type	1233	0	0	0	0	1	0	0	0	0	1	0	0	
Wood crystal types	304	0	1	0	0	1	0	0	0	0	0	2	0	
Wood vessel vestured pits	1243	0	0	0	0	1	0	0	0	0	0	0	0	
Bark surface structure, texture, age	838	0	0	0	0	0	0	0	0	2	0	2	0	
Crown (canopy) exposure index	3047	0	0	0	0	0	0	0	0	19	0	5	0	
Fine root (absorptive) acid hydrolyzable extractives per absorptive fine root dry mass	2120	0	0	0	0	0	0	0	0	3	0	3	0	
Fine root (absorptive) dry mass not hydrolyzable in acid extractives per absorptive fine root dry ma	2133	0	0	0	0	0	0	0	0	3	0	3	0	
Fine root (absorptive) dry mass soluble in nonpolar extractives per absorptive fine root dry mass	2135	0	0	0	0	0	0	0	0	3	0	3	0	
Fine root (absorptive) dry mass soluble in polar extractives per absorptive fine root dry mass	2138	0	0	0	0	0	0	0	0	3	0	3	0	
Fine root (absorptive) fractal dimension	2101	0	0	0	0	0	0	0	0	1	0	1	0	
Fine root (absorptive) link length (segments between two nodes or a node and a tip)	2102	0	0	0	0	0	0	0	0	1	0	1	0	
Fine root (absorptive) ratio of mass of non-acid hydrolysable compounds to mass of nitrogen	2152	0	0	0	0	0	0	0	0	3	0	3	0	
Fine root carbon (C) content per fine root dry mass	471	0	0	26	0	0	0	0	0	3	0	3	3	
Flower stipe length	3982	0	0	0	0	0	0	0	0	1	0	0	0	
Fruit moniliform	3984	0	0	0	0	0	0	0	0	1	0	0	0	
Fruit pulp color	3985	0	0	0	0	0	0	0	0	1	0	0	0	
Fruit surface type	2941	0	0	0	0	0	0	0	0	1	0	0	0	
Fruit texture inside (fleshy, leathrey, …)	3981	0	0	0	0	0	0	0	0	1	0	0	0	
Inflorescence: number of fruits per inflorescence	3881	0	0	0	0	0	0	0	0	3	0	0	0	
Leaf area (in case of compound leaves: leaflet, petiole included)	3111	0	0	6	12	0	0	0	0	80	5	54	0	
Leaf length excluding petiole (leaf lamina length)	940	0	0	0	2	0	0	0	0	2	0	0	0	
Leaf petiole length	143	0	1	0	20	0	0	0	20	2	0	0	0	
Pollination efficiency	3872	0	0	0	0	0	0	0	0	2	0	0	0	
Root tips per absorptive fine root dry mass (specific absorptive fine root tip abundance, SRTA)	2099	0	0	0	0	0	0	0	0	1	0	1	0	
Species cauliflory	3983	0	0	0	0	0	0	0	0	1	0	0	0	
Species potential allelopathy	3409	0	0	0	0	0	0	0	0	1	0	1	0	
Species understory/overstory	762	0	0	0	0	0	0	0	0	80	0	54	0	
Stem conduit density (vessels and tracheids)	169	0	0	0	6	0	0	0	0	3	0	9	0	
Stem conduit diameter (vessels, tracheids)	281	0	0	0	12	0	0	0	0	4	0	7	0	
Stem wood fiber wall thickness	288	0	0	0	2	0	0	0	0	1	0	1	0	
Wood cellular composition of rays	292	0	0	0	5	0	0	0	0	2	0	2	0	
Wood fiber lengths	289	0	0	0	2	0	0	0	0	4	0	7	0	
Wood fibre types	286	0	0	0	3	0	0	0	0	2	0	2	0	
Wood oil and mucilage cells presence	300	0	0	0	0	0	0	0	0	1	0	0	0	
Wood parenchyma characteristics	290	0	0	0	5	0	0	0	0	5	0	8	0	
Wood ray width	291	0	0	0	3	0	0	0	0	1	0	4	0	
Wood rays per millimetre (wood ray density)	297	0	0	0	2	0	0	0	0	1	0	1	0	
Wood septate fibres and parenchyma-like fibre bands	287	0	0	0	3	0	0	0	0	1	0	1	0	
Wood storied structure	299	0	0	0	0	0	0	0	0	1	0	2	0	
Wood vessel arrangement 	275	0	0	0	2	0	0	0	0	2	0	0	0	
Wood vessel element length; stem conduit (vessel and tracheids) element length	282	0	0	0	2	0	0	0	0	4	0	5	0	
Wood vessel grouping	276	0	0	0	2	0	0	0	0	2	0	1	0	
Wood vessel helical thickenings	280	0	0	0	4	0	0	0	0	3	0	0	1	
Wood vessel outline	277	0	0	0	2	0	0	0	0	1	0	0	0	
Wood vessel pits characteristics (vestured pits)	279	0	0	0	9	0	0	0	0	4	0	3	0	
Wood vessel scalariform perforations	419	0	0	0	0	0	0	0	0	1	0	1	0	
Wood: bars per vessel perforation plate	420	0	0	0	0	0	0	0	0	3	0	3	0	
Fine root surface area per fine root dry mass (specific fine root area)	1813	0	0	0	1	0	0	1	0	0	0	0	0	
Inflorescence: seed number per inflorescence (total, fertile, infertile)	1104	0	4	0	1	0	2	1	1	0	2	0	0	
Seed surface structure	3832	0	0	6	0	0	0	3	0	0	0	0	0	
Seed viability	1109	0	0	0	0	0	2	1	0	0	0	0	0	
Shoot fresh mass per shoot dry mass	1120	0	1	0	0	0	0	1	0	0	0	0	0	
Shoot organic nitrogen (N) content per shoot dry mass	1126	0	1	0	0	0	0	1	0	0	0	0	0	
Stem internode length	393	0	133	41	0	0	0	6	0	0	0	0	0	
Stem longevity	1187	0	1	0	0	0	2	1	1	0	0	0	2	
Wood fibers absent	1221	0	0	0	0	0	0	1	0	0	0	0	1	
Dispersal frequency	890	0	0	0	0	0	2	0	0	0	1	0	2	
Fine root dry mass per fine root fresh mass (fine root dry matter content; RDMC)	695	0	0	2	1	0	0	0	0	0	0	0	2	
Fine root lignin carbon (C) content per fine root carbon (C) content	424	0	0	0	0	0	0	0	0	0	0	0	1	
Fine root lignin content per fine root dry mass	1784	0	0	5	0	0	0	0	0	0	0	0	1	
Fine root pH	699	0	0	0	0	0	0	0	0	0	0	0	1	
Fine root ratio of lignin to nitrogen (N)	1898	0	0	0	0	0	0	0	0	0	0	0	1	
Leaf carotenoid content per leaf area	491	0	24	0	0	0	2	0	0	0	0	0	1	
Leaf chlorophyll content per chloroplast	3654	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf chlorophyll content per leaf carotene content	418	0	0	0	0	0	2	0	0	0	0	0	1	
Leaf mesophyll cell volume	19	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf mesophyll density (number of mesophyll cells per area)	108	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf mesophyll type	3651	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf number of chloroplasts per leaf area	3652	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf number of chloroplasts per leaf mesopyll cell	783	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf surface area of mesophyll cells per leaf area	3381	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf surface of chloroplasts area per leaf area	3653	0	0	0	0	0	1	0	0	0	0	0	1	
Leaf volume of chloroplasts	782	0	0	0	0	0	1	0	0	0	0	0	1	
Litter phosphorus (P) content per litter dry mass	71	0	0	0	0	0	10	0	0	0	0	0	1	
Twig carbon content per twig dry mass	691	0	0	0	0	0	0	0	0	0	0	0	1	
Twig carbon/nitrogen (C/N) ratio	694	0	0	0	0	0	0	0	0	0	0	0	1	
Twig dry mass per twig fresh mass (twig dry matter content, TDMC)	689	0	0	0	0	0	0	0	0	0	0	0	1	
Twig lignin content per twig dry mass	692	0	0	0	0	0	0	0	0	0	0	0	1	
Twig nitrogen (N) content per twig dry mass	690	0	0	0	0	0	0	0	0	0	0	0	1	
Twig pH	693	0	0	0	0	0	0	0	0	0	0	0	1	
Twig phosporus (P) content per twig dry mass	828	0	0	0	0	0	0	0	0	0	0	0	1	
Bud source	3102	0	0	1	1	0	0	0	0	0	1	0	0	
Budbank type belowground (Belowground Bud Bank, BBB)	4080	0	0	0	0	0	0	0	0	0	1	1	0	
Leaf anthoctanins in ACI units	3906	0	0	0	2	0	0	0	0	0	1	0	0	
Leaf chlorophyll content in SPAD units relative	3001	0	0	0	2	0	0	0	0	0	1	0	0	
Leaf heterophylly	936	0	0	0	1	0	3	0	3	0	2	0	0	
Leaf revolute or involute	975	0	0	0	0	0	12	0	0	0	8	0	0	
Plant flowering	3616	0	0	0	0	0	0	0	0	0	15	0	0	
Plant vital attributes of persistence and establishment	320	0	0	0	0	0	2	0	0	0	1	0	0	
Root persistence (lifespan, longevity)	1085	0	0	1	0	0	0	0	0	0	2	0	0	
Seed germination lag time	112	0	0	0	0	0	0	0	0	0	36	0	0	
Seed germination stimulation	34	0	0	8	0	0	0	0	0	0	1	0	0	
Stem color	1176	0	0	0	0	0	7	0	0	0	5	0	0	
Stem emergences (pubescence, hairs, spines, thorns)	1256	0	0	0	0	0	31	0	0	0	22	1	0	
Stem form (stem cross-sectional type)	1182	0	0	0	0	0	24	0	0	0	16	0	0	
Stem image	2820	0	0	0	0	0	7	0	0	0	5	0	0	
Stem latex production	1184	0	0	0	0	0	3	0	0	0	2	0	0	
Stem presence	2819	0	0	0	0	0	7	0	0	0	5	0	0	
Stem surface patterning	1189	0	0	0	0	0	14	0	0	0	10	0	0	
Coarse root to fine root mass ratio	1019	0	0	1	0	0	0	0	0	0	0	0	0	
Fine root cellulose content per fine root dry mass	1785	0	0	2	0	0	0	0	0	0	0	0	0	
Fine root dry mass fraction in respective root diameter class	2006	0	0	2	0	0	0	0	0	0	0	0	0	
Fine root dry mass per ground area	1795	0	0	4	0	0	0	0	0	0	0	0	0	
Fine root hemicellulose content per fine root dry mass	1854	0	0	2	0	0	0	0	0	0	0	0	0	
Fine root length per ground area	2024	0	0	1	0	0	0	0	0	0	0	0	0	
Fine root length per soil volume	2025	0	0	1	0	0	0	0	0	0	0	0	0	
Fine root link length (segments between two nodes or a node and a tip)	1846	0	0	12	0	0	0	0	0	0	0	0	0	
Fine root nitrogen (N) content per fine root length	1857	0	0	24	0	0	0	0	0	0	0	0	0	
Fine root nitrogen (N) uptake rate per length (specific N absorption rate)	3546	0	0	12	0	0	0	0	0	0	0	0	0	
Fine root respiration rate per fine root dry mass	1791	0	0	3	0	0	0	0	0	0	0	0	0	
Fine root rooting depth	1777	0	0	36	0	0	0	0	0	0	0	0	0	
Fine root rooting depth: fraction of fine root dry mass contained in depth interval	2029	0	0	13	0	0	0	0	0	0	0	0	0	
Fine root specific root hair cylinder volume: volume of root hairs per fine root dry mass	1973	0	0	2	0	0	0	0	0	0	0	0	0	
Fine root water soluble compounds per fine root dry mass	1890	0	0	2	0	0	0	0	0	0	0	0	0	
Fine root/shoot ratio	1778	0	1	12	0	0	0	0	0	0	0	0	0	
Inflorescence length (height)	2817	0	0	40	0	0	0	0	0	0	0	0	0	
Leaf cell wall mass per leaf area	3374	0	0	1	0	0	3	0	0	0	0	0	0	
Leaf cell wall mass per leaf dry mass	3375	0	0	1	0	0	3	0	0	0	0	0	0	
Leaf chlorophyll a/b ratio	416	0	0	1	0	0	1	0	0	0	0	0	0	
Leaf chlorophyll content per leaf area (Chl a)	3476	0	0	1	0	0	1	0	0	0	0	0	0	
Leaf chlorophyll content per leaf dry mass (Chl a)	3474	0	0	1	0	0	2	0	3	0	0	0	0	
Leaf chlorophyll content per leaf dry mass (Chl b)	3475	0	0	1	0	0	2	0	3	0	0	0	0	
Leaf dry mass loss during leaf senescence	933	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf equivalent water thickness (EWT)	3767	0	0	1	0	0	1	0	3	0	0	0	0	
Leaf hydrogen (H) content per leaf dry mass	2955	0	3	3	0	0	0	0	0	0	0	0	0	
Leaf isoprene emission category	937	0	2	1	2	0	4	0	0	0	0	1	0	
Leaf isoprene emission rate per leaf area	938	0	2	2	4	0	6	0	0	0	0	2	0	
Leaf isoprene emission rate per leaf dry mass	939	0	3	1	2	0	3	0	0	0	0	1	0	
Leaf minus soil nitrogen (N) isotope signature (leaf delta 15N minus soil delta 15N)	79	0	0	7	0	0	0	0	0	0	0	0	0	
Leaf respiration rate in the dark temperature dependence	272	0	0	8	0	0	0	0	0	0	0	0	0	
Leaf soluble phenols content per leaf dry mass	126	0	0	1	0	0	0	0	0	0	0	0	0	
Leaf volatile organic carbon (VOC): monoterpene emission category	965	0	0	1	1	0	1	0	0	0	0	0	0	
Leaf volatile organic carbon (VOC): other than monoterpenes emission	2815	0	2	1	2	0	4	0	0	0	0	1	0	
Litter (fine root) decomposition: fraction of fine root dry mass not decomposed to original fine roo	1909	0	0	2	0	0	0	0	0	0	0	0	0	
Litter carbon/nitrogen (C/N) ratio	150	0	0	1	0	0	8	0	0	0	0	0	0	
Litter SLA (leaf area per leaf dry mass, specific leaf area, 1/LMA of leaf litter)	69	0	0	2	6	0	0	0	0	0	0	0	0	
Mycorhizza: soil ergosterol content per soil dry mass or growth medium dry mass	1447	0	0	1	0	0	0	0	0	0	0	0	0	
Photosynthesis photoperiodism: threshold value	1012	0	0	1	0	0	0	0	0	0	0	0	0	
Photosynthesis photoperiodism: type	1013	0	0	1	0	0	0	0	0	0	0	0	0	
Plant biomass and allometry: Fine root mass fraction (fraction of fine root dry mass to whole plant 	2005	0	0	12	0	0	0	0	0	0	0	0	0	
Plant dry mass height distribution	1026	0	1	1	0	0	0	0	0	0	0	0	0	
Plant exposure	1027	0	0	1	1	0	0	0	0	0	0	0	0	
Plant size	3768	0	0	45	0	0	0	0	0	0	0	0	0	
Plant vegetative reproduction: spread distance 	1207	0	1	1	0	0	0	0	0	0	0	0	0	
Reproductive organ nitrogen/phosphorus (N/P) ratio	688	0	1	1	0	0	0	0	1	0	0	0	0	
Reproductive organ phosphorus (P) content per reproductive structures dry mass	685	0	1	1	0	0	0	0	1	0	0	0	0	
Root branching intensity: number of root branches per root length	3480	0	0	12	0	0	0	0	0	0	0	0	0	
Root carbon isotope signature (delta 13C)	90	0	0	7	0	0	0	0	0	0	0	0	0	
Root cellulose content per root dry mass	91	0	0	7	0	0	0	0	0	0	0	0	0	
Root exudate content per soil dry mass: soil concentration of root exudates	3158	0	0	1	0	0	0	0	0	0	0	0	0	
Root hemicellulose content per root dry mass	93	0	0	7	0	0	0	0	0	0	0	0	0	
Root microbial relations: ratio of root fungal carbon (C) to root bacterial carbon	1445	0	0	1	0	0	0	0	0	0	0	0	0	
Root microbial relations: root bacterial biomass carbon (C) content per root dry mass	1444	0	0	1	0	0	0	0	0	0	0	0	0	
Root microbial relations: root fungal biomass carbon (C) content per root dry mass	1443	0	0	1	0	0	0	0	0	0	0	0	0	
Root microbial relations: root glucosamine content per root dry mass	1439	0	0	1	0	0	0	0	0	0	0	0	0	
Root microbial relations: root microbial biomass carbon (C) content per root dry mass	1441	0	0	1	0	0	0	0	0	0	0	0	0	
Root microbial relations: root microbial biomass nitrogen (N) content per root dry mass	1442	0	0	1	0	0	0	0	0	0	0	0	0	
